,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Atu0001,170.32885635843715,-0.21641631820984156,0.17209664109256465,-1.2598258812089465,0.19972199153355796,0.3096992824077598
Atu0002,358.74868370829785,-0.47397431566929116,0.13897747165440064,-3.3595817811389024,0.0005949924808475711,0.0020351428971662486
Atu0003,420.33710111990183,-0.3906537118164026,0.11559778544399944,-3.072676769030949,0.001579558682609585,0.004563755825191294
Atu0004,297.35040263935184,-0.44184668267985916,0.14432075873351055,-3.0287704509130675,0.0023196378751088394,0.006987864738260759
Atu0005,854.9834018336428,0.12473210160288191,0.14260892344851125,0.9438051072546938,0.34014374166554256,0.4292644947655148
Atu0006,3014.2169794060364,-0.5358842102544205,0.14543243916816312,-3.4739563211751947,0.0003924613086018275,0.0013964608793450533
Atu0007,765.3726329550694,1.3682235555973756,0.13986454157215497,9.858274280908173,4.404409517890949e-25,1.74267116117274e-23
Atu0008,1421.1373956206673,0.5639148207975038,0.11368456300473784,4.55232062073387,2.4504646225242434e-06,1.4065900724944566e-05
Atu0009,835.7210701467598,1.0406524141426197,0.11558284011205482,9.352863935247195,8.935476908596074e-20,2.463209816245761e-18
Atu0010,526.2042585911342,1.1304535132611324,0.18796032672930432,5.951368526443442,2.0804525660801646e-09,2.041087492593083e-08
Atu0011,127.52882639590916,1.5615178186794862,0.18870752228700374,8.02971417854268,4.964916892072264e-16,1.1130376068648792e-14
Atu0012,4809.7357391701735,0.09628591393249172,0.09748937777055104,0.9124599089340916,0.34800463895438927,0.4447080861005751
Atu0013,214.79552488705332,-0.5662715520581971,0.2324189267503778,-2.567102838992814,0.014225018033642498,0.03162254308548626
Atu0014,1637.7761911516939,-0.6884844147275367,0.24512997088094868,-2.6692923947408107,0.007003700677691733,0.01699017969945147
Atu0015,955.0390561618074,0.19661876683908958,0.11048445926870622,1.6460724228753507,0.08608228677374954,0.14036100039692764
Atu0016,1488.7765770057251,0.4411032316601522,0.1257485370353751,3.52668885957297,0.0003404805633210492,0.0011980197239524412
Atu0017,711.93185714141,0.22833523669492142,0.13735018865343215,1.738170551239584,0.09351384659983623,0.16055708593731705
Atu0018,3339.5913780786773,-0.09285701295847464,0.1057585947925792,-0.8355952348404292,0.4075339184102621,0.5326857821449975
Atu0019,2418.610999892111,-0.030032072908425536,0.12509321450442432,-0.24826329489113622,0.8125829620826939,0.8267265094715333
Atu0020,3143.0290775042163,-0.11756958425465913,0.08970665880213112,-1.1706418275910502,0.23184271508969911,0.30615565308000775
Atu0021,2366.0293844120224,0.47972442402124105,0.12305566698944975,4.017452911559824,4.828500914544783e-05,0.00021989549305992585
Atu0022,2087.394540687871,-0.05603547771128945,0.216492412445547,-0.23891630627560032,0.7714149053119259,0.892896349901956
Atu0023,871.6548619394106,0.051985852000585704,0.15971157514420986,0.3194137915747502,0.76340859963356,0.7990654143417218
Atu0024,1136.6949559538932,0.2101208143159714,0.12644335987728395,1.5145182736649456,0.1143199759767943,0.19022274295709488
Atu0025,506.129403632331,0.031878095764582066,0.11768610557189144,0.26942720350949256,0.7865185852953765,0.8694946882514063
Atu0026,836.0502697990918,0.033618316171196934,0.12377460056058971,0.28587617361502626,0.8128131137009065,0.8758910758616175
Atu0027,2610.9381795771055,-0.05238488859667535,0.10238032665560576,-0.535144891539897,0.5645908861524611,0.6597294719260564
