,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Atu0001,159.114981140195,-0.10635875812541551,0.23096361885579916,-0.4766746914027696,0.656040712738202,0.7610032293943105
Atu0002,276.44545121604887,-0.17196813647737894,0.2140724716046493,-0.8296003928874334,0.40130366141601564,0.5310799923667323
Atu0003,425.6787508827198,-0.3191485528964659,0.21922195308664233,-1.4664214813146637,0.14987516849255117,0.2589352040566193
Atu0004,219.6754483072071,-0.29143384120867005,0.22515810155033253,-1.3439404936775645,0.20843189388473454,0.32011152087286937
Atu0005,813.3719156329661,0.32563238862487087,0.24490295542764962,1.4264295243028877,0.1585326540977827,0.2705990185357921
Atu0006,3133.8698445885543,-0.5525711239650437,0.2523643468474295,-2.329069785464656,0.026775573762142246,0.059419131833627715
Atu0007,846.6373329826163,0.7352477332991205,0.19514909373641606,3.449670025144185,0.0003977412884048703,0.001699833600030086
Atu0008,1783.5932313860912,0.6637265015513213,0.20994188439559475,3.3525436097399686,0.0009968754547514597,0.003893237624610012
Atu0009,740.2750532229455,0.7151493045507511,0.20490638991435192,3.127174453498627,0.0010713824300350296,0.004156013558417828
Atu0010,565.4090906983263,0.8005545312366581,0.2807898410311467,2.907221923503012,0.005180830792497343,0.014585291197485108
Atu0011,69.0739620173419,0.8915895572752953,0.3058905790939782,2.870047486329389,0.00399623780156494,0.012407952616911841
Atu0012,3886.9313978633004,-0.23350309100464836,0.19024272924224475,-1.1682616416180658,0.27230889308623824,0.4001110843964749
Atu0013,771.1004369951819,0.08138777470726177,0.3051773568952476,0.25399679821257226,0.7638726265225755,0.8483748316842721
Atu0014,1726.0677560954312,-0.28525213227178603,0.32557454850724515,-0.960419939894683,0.3378610150889239,0.49672432996545135
Atu0015,670.2016211748215,0.14073379732603278,0.29131989462263913,0.5168755421711194,0.5942575699466094,0.7559283259571279
Atu0016,1244.041719052254,0.5849978215940232,0.2590413905152833,2.2390516731442704,0.022463664978612914,0.051820670692978396
Atu0017,439.72996422844085,-0.13503344606757747,0.21715743095238726,-0.6067652012832042,0.574942988276177,0.6619908867762293
Atu0018,3336.1749017973843,-0.26472013014628903,0.18611210929667824,-1.3966306951584109,0.1674909340987468,0.2851863857823544
Atu0019,2154.4879656803346,-0.3473390244920915,0.20078791186856043,-1.9105697466464557,0.06128490065044799,0.12052683820266183
Atu0020,3001.160986755932,-0.36913711890505646,0.18028412049853304,-2.0306337585423226,0.04347531168159046,0.09817131912174015
Atu0021,1828.4955734072162,-0.028269431775013915,0.18483444279912803,-0.1651509734440266,0.8969773706826094,0.8826076410919912
Atu0022,3200.562903499186,0.45228088467182037,0.17172675329947934,2.4451142364283043,0.011235095206124783,0.02929151991969256
Atu0023,592.5929281995974,-0.8398288300031599,0.23377165724167837,-3.5399738200581607,0.000559983762377859,0.002309806902276013
